,0
0,-0.8467940146665327
1,0.056274114059217326
2,0.4892489710947898
3,-0.047640807607058376
4,-0.6103407211974993
5,-0.725160674802249
6,-0.052053028678709055
7,0.5229386059519702
8,0.2806228356539362
9,-0.3403122250110178
10,-0.7197775983368381
11,-0.4987650405182522
12,-0.37137704652636433
13,-0.7614812929874772
14,-0.10953116466007594
15,-1.1123339188124992
16,0.42541730238868414
17,-0.4976382420005609
18,-0.40732111570984697
19,-0.4626156139356567
20,-1.0831835307858821
21,-0.7447470923661328
22,0.23992110308206904
23,-0.022923998472167383
24,-0.9298188768816775
25,-0.3091247955565248
26,-0.31333236780735035
27,-1.0864135171160687
28,-0.23118886251091242
29,1.222219885924519
30,0.3642210509299563
31,-1.075067515449162
32,-0.5190095000974727
33,-0.19309852600973992
34,-0.7908277879538343
35,-1.0541765522998874
36,-0.5790879147598527
37,1.2830713973687293
38,0.9391439986889033
39,-0.1765423847769458
40,-0.5608429781043228
41,-0.3801460497291595
42,-1.0259592181570216
43,-1.0767766402286096
44,-0.22457935498504902
45,0.5244097385800578
46,-0.40625774565716144
47,0.10578935987183538
48,0.021089546655454882
49,-0.8553817268096605
50,2.5247652169441843
51,-0.7288925396319182
52,0.3634505134993427
53,1.0121605431037572
54,1.4100015676784954
55,0.2085413240145571
56,-0.9157648912851296
57,-0.25059008594131177
58,-0.5058452990189075
59,-0.6393307329007611
60,-1.0320850540758904
61,-0.39272621606912717
62,0.8370927808132919
63,-1.0624787339975421
64,2.0650170738521485
65,-0.28178827500593917
66,-0.299806911472147
67,2.652311971066405
68,0.05849175004836754
69,0.0899028352400016
70,-0.5622107583893122
71,-0.8011686564416657
72,-0.45058662035343083
73,-0.9552140268830808
74,-0.37862635803834305
75,-0.4452164017415549
76,-0.7487123325741517
77,0.3827144067005741
78,-0.6358631043513682
79,-0.5212399122667162
80,-0.5196188942989101
81,1.1655990013086681
82,0.06514015832992762
83,-0.6121658652188483
84,-0.6409561707649254
85,0.9457835094656033
86,2.054823970451626
87,-0.9087937098214887
88,0.5101072861341573
89,0.04800571131615076
90,0.5572806405627457
91,-0.36755978145522517
92,-0.2622039032412523
93,-0.16263868278852664
94,-0.1461229719780346
95,-0.41532251227304146
96,0.1324771631915501
97,-0.8784492015237236
98,-0.15535423249882818
99,-0.9450581912104403
100,-0.6363860414869679
101,-0.4633446318838614
102,-1.0690823025070892
103,-0.22121657706480302
104,-0.3905644984030659
105,-0.25874203703705156
106,-0.5123836449210291
107,-0.5580687266531503
108,-0.486357269871758
109,-0.37260561290605626
110,-0.30837808973871145
111,-1.0256999434712046
112,-0.6173056060890136
113,0.6559193804839907
114,0.9521206387939335
115,-0.09168858086852676
116,1.129418909031535
117,0.7496189934805388
118,-0.8373897834290627
119,-0.8772589132138051
120,0.07832308918698537
121,-0.1632605608701849
122,-0.6453470893721487
123,-0.12147871826156463
124,0.008091462952558335
125,-0.6493465400646753
126,-1.0698877016379418
127,-0.0212374469203188
128,1.5589199648897145
129,-0.8100187490608511
130,0.2682898746490689
131,1.8378373177760485
132,0.24178089142417514
133,1.405576590299934
134,-1.0813780419701673
135,0.1678244322884459
136,-1.0977952560194753
137,0.36971837271220576
138,-0.4803634644965069
139,-0.2530007419308764
140,0.30205830991144705
141,-0.3360215285972753
142,0.6568848342020561
143,-0.5675599123190851
144,-0.27310529303322517
145,-0.5701131353213941
146,1.4259529341670818
147,0.16067048687501975
148,10.188753225347075
149,-0.4612743831588447
150,0.2965203296977723
151,-0.7673987565491551
152,-0.46460767203135794
153,-0.587126953537817
154,-0.23908396033675855
155,0.7575695389230577
156,-0.13750784522165996
157,-0.17925557399469128
158,0.7283443099842887
159,-0.45921258786269376
160,0.47083567293141004
161,-0.6545745752552169
162,-0.0606329074240965
163,-0.40737394014337835
164,1.5124110261753871
165,-0.2160850256893009
166,1.4724769459419438
167,-0.5596954671895035
168,0.08458558651866067
169,-0.24062698207373096
170,-0.06777012787678276
171,-0.3284844778687913
172,0.40158994497891887
173,-0.2296273289367005
174,-0.6846782021928425
175,-0.66471877819286
176,-0.5857257454773187
177,-0.4036730856055859
178,-1.0408558813332967
179,0.046430212601745686
180,0.5761291248599483
181,-0.6031397203652843
182,-0.3358029670911952
183,-0.3686135904543124
184,1.4787815033513816
185,-0.5050025240649725
186,-0.3172176527860155
187,-0.23610178621670636
188,-0.4084733710589148
189,-0.6933590536819141
190,-0.2478960194853464
191,-0.7353309855721748
192,0.6670535905745157
193,0.011271326509433017
194,0.033044904685923616
195,-0.5456121942456886
196,0.4802762242460965
197,-0.6508921654818508
198,-0.6552524928606102
199,-1.0962247562951615
200,-0.4288638855836705
201,0.7366888861222661
202,-1.0414362513333129
203,0.06069252350694046
204,-1.066385434207713
205,-0.6911760825617819
206,1.776925081442238
207,-0.939667501603088
208,1.2652118012378815
209,-0.8210710691700835
210,-0.39409656818439753
211,0.6753361365595478
212,-0.510656600155821
213,2.4622434392085433
214,-0.8995699052439452
215,0.10728748618116324
216,-0.35871383167686255
217,0.21347397098548038
218,-0.9463107716981967
219,-0.689867073952776
220,1.776925081442238
221,0.8373398696915344
222,-0.6548949036880746
223,1.18997247858462
224,-0.42396966752816184
225,-0.4439619744967683
226,-0.9188901991551558
227,-1.114376071370532
228,1.6498117023242675
229,-0.2805677993134365
230,-0.47208357798639095
231,-0.39421179038239684
232,-0.530709725070905
233,-0.25543136490929674
234,-0.5390268399729944
235,0.2243893193224072
236,-1.0444807549232953
237,0.4425694354932272
238,-0.4459851634686868
239,2.027579481348528
240,-1.057302045479751
241,-0.40065579564580983
242,-0.9347720611148275
